Id	RsUid	GbUid	AssemblyAccession	LastMajorReleaseAccession	AssemblyName	Taxid	Organism	SpeciesTaxid	SpeciesName	BioprojectAccn	BioSampleAccn	BioSampleId 
2354261	8833058	8774328	GCF_004366615.1	GCF_004366615.1	ASM436661v1	1232866	Caballeronia udeis (b-proteobacteria)	1232866	Caballeronia udeis	PRJNA460940	PRJNA224116	SAMN09070756	9070756
2342751	8754318	8727448	GCF_004343465.1	GCF_004343465.1	ASM434346v1	937254	Thermohydrogenium kirishiense (firmicutes)	937254	Thermohydrogenium kirishiense	PRJNA500305	PRJNA224116	SAMN10363402	10363402
2342341	8751298	8726628	GCF_004342665.1	GCF_004342665.1	ASM434266v1	160434	Samsonia erythrinae (enterobacteria)	160434	Samsonia erythrinae	PRJNA500338	PRJNA224116	SAMN10362892	10362892
2319851	8656348	8649558	GCF_004299845.1	GCF_004299845.1	ASM429984v1	2488809	Verrucomicrobia bacterium S94 (verrucomicrobia)	2488809	Verrucomicrobia bacterium S94	PRJNA505087	PRJNA224116	SAMN10410599	10410599
2230511	8525258	8403328	GCF_004143695.1	GCF_004143695.1	ASM414369v1	246432	Staphylococcus equorum (firmicutes)	246432	Staphylococcus equorum	PRJNA301343	PRJNA224116	SAMN07333888	7333888
2228501	8414268	8396768	GCF_004137085.1	GCF_004137085.1	ASM413708v1	2316527	Lichenibacterium ramalinae (a-proteobacteria)	2316527	Lichenibacterium ramalinae	PRJNA485057	PRJNA224116	SAMN09781800	9781800
2227461	8433758	8394338	GCF_004134985.1	GCF_004134985.1	ASM413498v1	2003592	Paenibacillaceae bacterium (firmicutes)	2003592	Paenibacillaceae bacterium	PRJNA495731	PRJNA224116	SAMN10231704	10231704
2214271	8353358	8330278	GCF_004102025.1	GCF_004102025.1	ASM410202v1	2057800	Actinomyces qiguomingii (high GC Gram+)	2057800	Actinomyces qiguomingii	PRJNA420781	PRJNA224116	SAMN08120347	8120347
2194231	8193408	8188628	GCF_003992745.1	GCF_003992745.1	ASM399274v1	1905730	Pectobacterium parmentieri (enterobacteria)	1905730	Pectobacterium parmentieri	PRJNA433470	PRJNA224116	SAMN08494000	8494000
2180991	8151538	8124338	GCF_900638085.1	GCF_900638085.1	55884_B01	1275	Kocuria rosea (high GC Gram+)	1275	Kocuria rosea	PRJEB6403	PRJNA224116	SAMEA104200652	7781519
2179811	8153098	8121968	GCF_900636725.1	GCF_900636725.1	43908_B01	1314	Streptococcus pyogenes (firmicutes)	1314	Streptococcus pyogenes	PRJEB6403	PRJNA224116	SAMEA3729937	4825124
2169051	8104778	8091988	GCF_003947245.1	GCF_003947245.1	ASM394724v1	1288362	Actinoplanes sp. ATCC 53533 (high GC Gram+)	1288362	Actinoplanes sp. ATCC 53533	PRJNA472056	PRJNA224116	SAMN09238303	9238303
2131721	8055338	7991718	GCF_003865035.1	GCF_003865035.1	ASM386503v1	2358141	Anaerotignum faecicola (firmicutes)	2358141	Anaerotignum faecicola	PRJDB7416	PRJNA224116	SAMD00141010	10130910
2127171	7980298	7976648	GCF_003855095.1	GCF_003855095.1	ASM385509v1	2420509	Gordonia insulae (high GC Gram+)	2420509	Gordonia insulae	PRJNA494249	PRJNA224116	SAMN10160079	10160079
2124151	7969328	7950458	GCF_003846135.1	GCF_003846135.1	ASM384613v1	69224	Erwinia psidii (enterobacteria)	69224	Erwinia psidii	PRJNA498492	PRJNA224116	SAMN10305463	10305463
2121781	7964208	7943368	GCF_003839645.1	GCF_003839645.1	ASM383964v1	1358	Lactococcus lactis (firmicutes)	1358	Lactococcus lactis	PRJNA492214	PRJNA224116	SAMN10095185	10095185
2087491	7894578	7823168	GCF_003751275.1	GCF_003751275.1	ASM375127v1	2485170	Granulicella sp. GAS466 (bacteria)	2485170	Granulicella sp. GAS466	PRJNA501195	PRJNA224116	SAMN10361800	10361800
2072701	7834988	7788038	GCF_003725715.1	GCF_003725715.1	ASM372571v1	2304603	Zhongshania marina (g-proteobacteria)	2304603	Zhongshania marina	PRJNA487235	PRJNA224116	SAMN10319551	10319551
2038681	7671188	7651438	GCF_003699495.1	GCF_003699495.1	ASM369949v1	235277	Pseudomonas coronafaciens pv. oryzae (g-proteobacteria)	53409	Pseudomonas coronafaciens	PRJNA292453	PRJNA224116	SAMN03976505	3976505
2035191	7661558	7643348	GCF_003691465.1	GCF_003691465.1	ASM369146v1	2479392	Pseudomonas sp. LTJR-52 (g-proteobacteria)	2479392	Pseudomonas sp. LTJR-52	PRJNA495108	PRJNA224116	SAMN10255221	10255221
2005221	7550568	7523238	GCF_003611835.1	GCF_003611835.1	ASM361183v1	2320084	Clostridium sp. 1xD42-85 (firmicutes)	2320084	Clostridium sp. 1xD42-85	PRJNA486904	PRJNA224116	SAMN10024815	10024815
1994601	7524498	7506118	GCF_003598585.1	GCF_003598585.1	ASM359858v1	2282476	Kocuria sp. CPCC 104605 (high GC Gram+)	2282476	Kocuria sp. CPCC 104605	PRJNA481731	PRJNA224116	SAMN09689456	9689456
1980371	7456868	7449418	GCF_003571105.1	GCF_003571105.1	ASM357110v1	2290915	Candidatus Cryosericum hinesii (bacteria)	2290915	Candidatus Cryosericum hinesii	PRJNA482249	PRJNA224116	SAMN09710620	9710620
1978931	7454668	7446448	GCF_001557535.2	GCF_001557535.2	ASM155753v2	1795043	Burkholderia sp. PAMC 26561 (b-proteobacteria)	1795043	Burkholderia sp. PAMC 26561	PRJNA310663	PRJNA224116	SAMN04453248	4453248
1930941	7362778	7311008	GCF_003481145.1	GCF_003481145.1	ASM348114v1	2292270	Ruminococcaceae bacterium TF06-43 (firmicutes)	2292270	Ruminococcaceae bacterium TF06-43	PRJNA482748	PRJNA224116	SAMN09736896	9736896
1912361	7359098	7269758	GCF_003443875.1	GCF_003443875.1	ASM344387v1	2107713	Aeromicrobium sp. A1-2 (high GC Gram+)	2107713	Aeromicrobium sp. A1-2	PRJNA436420	PRJNA224116	SAMN08624593	8624593
1909071	7268278	7205178	GCF_003433955.1	GCF_003433955.1	ASM343395v1	1755241	Anaerococcus nagyae (firmicutes)	1755241	Anaerococcus nagyae	PRJNA482748	PRJNA224116	SAMN09736673	9736673
1857411	7056408	7040038	GCF_003367645.1	GCF_003367645.1	ASM336764v1	2174847	Streptomyces sp. IB2014 011-12 (high GC Gram+)	2174847	Streptomyces sp. IB2014 011-12	PRJNA453997	PRJNA224116	SAMN08995759	8995759
1850571	7028358	6999268	GCF_900455955.1	GCF_900455955.1	52121_C02	29432	Psychrobacter phenylpyruvicus (g-proteobacteria)	29432	Psychrobacter phenylpyruvicus	PRJEB6403	PRJNA224116	SAMEA44535418	6477158
1849891	7023918	6997908	GCF_900452405.1	GCF_900452405.1	49508_H02	1276	Kytococcus sedentarius (high GC Gram+)	1276	Kytococcus sedentarius	PRJEB6403	PRJNA224116	SAMEA4076716	6169840
1837291	6995108	6965078	GCF_003347665.1	GCF_003347665.1	ASM334766v1	2078013	Microvirga calopogonii (a-proteobacteria)	2078013	Microvirga calopogonii	PRJNA451539	PRJNA224116	SAMN08972775	8972775
1825891	6937348	6922038	GCF_003330725.1	GCF_003330725.1	ASM333072v1	2211140	Acidisarcina polymorpha (bacteria)	2211140	Acidisarcina polymorpha	PRJNA476855	PRJNA224116	SAMN09460743	9460743
1771011	6724278	6714108	GCF_900475065.1	GCF_900475065.1	42545_C02	150055	Streptococcus lutetiensis (firmicutes)	150055	Streptococcus lutetiensis	PRJEB6403	PRJNA224116	SAMEA3643305	4443669
1743681	6660198	6626958	GCF_003206555.1	GCF_003206555.1	ASM320655v1	1979544	Microcystis aeruginosa Sj (cyanobacteria)	1126	Microcystis aeruginosa	PRJDB5694	PRJNA224116	SAMD00078610	9386745
1690081	7198948	6430158	GCF_003075415.1	GCF_003075415.1	ASM307541v1	1862707	Microvirga sp. KLBC 81 (a-proteobacteria)	1862707	Microvirga sp. KLBC 81	PRJNA451250	PRJNA224116	SAMN08966147	8966147
1666921	6380178	6343748	GCF_003041555.1	GCF_003041555.1	ASM304155v1	1288	Staphylococcus xylosus (firmicutes)	1288	Staphylococcus xylosus	PRJNA342349	PRJNA224116	SAMN06173225	6173225
1666891	6380238	6343698	GCF_003041515.1	GCF_003041515.1	ASM304151v1	1288	Staphylococcus xylosus (firmicutes)	1288	Staphylococcus xylosus	PRJNA342349	PRJNA224116	SAMN06173236	6173236
1662931	6372908	6335758	GCF_003035765.1	GCF_003035765.1	ASM303576v1	586733	Staphylococcus devriesei (firmicutes)	586733	Staphylococcus devriesei	PRJNA342349	PRJNA224116	SAMN06172977	6172977
1632961	6248648	6234998	GCF_003003795.1	GCF_003003795.1	ASM300379v1	2107698	Stenomitos frigidus ULC18 (cyanobacteria)	1886765	Stenomitos frigidus	PRJNA436169	PRJNA224116	SAMN08617402	8617402
1632691	6249568	6234238	GCF_003003235.1	GCF_003003235.1	ASM300323v1	1629062	Antricoccus suffuscus (high GC Gram+)	1629062	Antricoccus suffuscus	PRJNA402469	PRJNA224116	SAMN07621129	7621129
1605771	6189178	6131088	GCF_002965825.1	GCF_002965825.1	ASM296582v1	2093888	Escherichia sp. MOD1-EC6147 (enterobacteria)	2093888	Escherichia sp. MOD1-EC6147	PRJNA230969	PRJNA224116	SAMN05440270	5440270
1578231	6148778	6065578	GCF_002941025.1	GCF_002941025.1	ASM294102v1	2093747	Streptomyces sp. QL37 (high GC Gram+)	2093747	Streptomyces sp. QL37	PRJNA434075	PRJNA224116	SAMN08536093	8536093
1564971	6061668	6034148	GCF_002935105.1	GCF_002935105.1	ASM293510v1	1920116	Leclercia sp. LSNIH3 (enterobacteria)	1920116	Leclercia sp. LSNIH3	PRJNA430813	PRJNA224116	SAMN06040408	6040408
1562531	6029238	6026168	GCF_002930535.1	GCF_002930535.1	ASM293053v1	180957	Pectobacterium brasiliense (enterobacteria)	180957	Pectobacterium brasiliense	PRJNA400696	PRJNA224116	SAMN08141583	8141583
1545791	5970028	5956318	GCF_002903045.1	GCF_002903045.1	ASM290304v1	1920109	Enterobacteriaceae bacterium ENNIH2 (enterobacteria)	1920109	Enterobacteriaceae bacterium ENNIH2	PRJNA430813	PRJNA224116	SAMN06040391	6040391
1522261	5904848	5882308	GCF_002878675.1	GCF_002878675.1	ASM287867v1	256701	Glutamicibacter arilaitensis (high GC Gram+)	256701	Glutamicibacter arilaitensis	PRJNA387187	PRJNA224116	SAMN07141175	7141175
1423771	5612078	5601518	GCF_002741015.1	GCF_002741015.1	ASM274101v1	1882682	Microvirga ossetica (a-proteobacteria)	1882682	Microvirga ossetica	PRJNA329489	PRJNA224116	SAMN05413551	5413551
1368581	5553298	5483028	GCF_002631755.1	GCF_002631755.1	ASM263175v1	1206980	Nostoc sp. 'Peltigera malacea cyanobiont' DB3992 (cyanobacteria)	1206980	Nostoc sp. 'Peltigera malacea cyanobiont' DB3992	PRJNA389205	PRJNA224116	SAMN07192327	7192327
1334591	5422168	5381158	GCF_002563635.1	GCF_002563635.1	ASM256363v1	1761764	Bacillus sp. es.036 (firmicutes)	1761764	Bacillus sp. es.036	PRJNA303383	PRJNA224116	SAMN04487878	4487878
1328161	5392228	5344278	GCF_002551345.1	GCF_002551345.1	ASM255134v1	1827928	Streptomyces sp. ms115 (high GC Gram+)	1827928	Streptomyces sp. ms115	PRJNA401484	PRJNA224116	SAMN07606150	7606150
1301231	5311368	5264408	GCF_002499975.1	GCF_002499975.1	ASM249997v1	1858656	Alteromonas pelagimontana (g-proteobacteria)	1858656	Alteromonas pelagimontana	PRJNA386068	PRJNA224116	SAMN06924978	6924978
1284211	5299758	5213818	GCF_900215435.1	GCF_900215435.1	IMG-taxon 2703719188 annotated assembly	1938870	Enterobacteriaceae bacterium JKS000234 (enterobacteria)	1938870	Enterobacteriaceae bacterium JKS000234	PRJEB22438	PRJNA224116	SAMN06273570	6273570
1237991	5140518	5115208	GCF_002379175.1	GCF_002379175.1	ASM237917v1	955	Wolbachia pipientis (a-proteobacteria)	955	Wolbachia pipientis	PRJNA407640	PRJNA224116	SAMN07660487	7660487
1226721	5109908	5089508	GCF_002356635.1	GCF_002356635.1	ASM235663v1	2033435	Rhodobacteraceae bacterium QY30 (a-proteobacteria)	2033435	Rhodobacteraceae bacterium QY30	PRJNA401064	PRJNA224116	SAMN07594064	7594064
1214571	5076098	5054088	GCF_002332335.1	GCF_002332335.1	ASM233233v1	273384	Brevibacterium aurantiacum (high GC Gram+)	273384	Brevibacterium aurantiacum	PRJNA387187	PRJNA224116	SAMN07141153	7141153
1178661	4953478	4948858	GCF_002266425.1	GCF_002266425.1	ASM226642v1	1280483	Tissierella sp. P1 (firmicutes)	1280483	Tissierella sp. P1	PRJNA397253	PRJNA224116	SAMN07452740	7452740
1163281	4900528	4894658	GCF_002237755.1	GCF_002237755.1	ASM223775v1	1955700	Lysinibacillus sp. KCTC 33748 (firmicutes)	1955700	Lysinibacillus sp. KCTC 33748	PRJNA373955	PRJNA224116	SAMN06319187	6319187
1161461	4895098	4843518	GCF_002234535.1	GCF_002234535.1	ASM223453v1	1470176	Actinoalloteichus hoggarensis (high GC Gram+)	1470176	Actinoalloteichus hoggarensis	PRJNA394565	PRJNA224116	SAMN07353059	7353059
1154781	4788548	4726878	GCF_900188255.1	GCF_900188255.1	IMG-taxon 2724679735 annotated assembly	1411120	Hymenobacter mucosus (CFB group bacteria)	1411120	Hymenobacter mucosus	PRJEB21392	PRJNA224116	SAMN06269173	6269173
1153731	4685718	4684438	GCF_002216305.2	GCF_002216305.2	ASM221630v2	1488	Clostridium acetobutylicum (firmicutes)	1488	Clostridium acetobutylicum	PRJNA384327	PRJNA224116	SAMN06840644	6840644
1152941	4683568	4681698	GCF_002218735.1	GCF_002218735.1	ASM221873v1	47770	Lactobacillus crispatus (firmicutes)	47770	Lactobacillus crispatus	PRJNA312549	PRJNA224116	SAMN04498981	4498981
1152901	4683788	4681618	GCF_002218655.1	GCF_002218655.1	ASM221865v1	47770	Lactobacillus crispatus (firmicutes)	47770	Lactobacillus crispatus	PRJNA312549	PRJNA224116	SAMN04498976	4498976
1114851	4543268	4536748	GCF_002161065.1	GCF_002161065.1	ASM216106v1	1965542	Eubacterium sp. An11 (firmicutes)	1965542	Eubacterium sp. An11	PRJNA377666	PRJNA224116	SAMN06473581	6473581
1113011	4539308	4533038	GCF_900143625.1	GCF_900143625.1	ASM90014362v1	1434837	Nocardiopsis sp. JB363 (high GC Gram+)	1434837	Nocardiopsis sp. JB363	PRJEB18482	PRJNA224116	SAMEA21225418	6302234
1111331	4606118	4514128	GCF_002156865.1	GCF_002156865.1	ASM215686v1	178774	Bacillus luciferensis (firmicutes)	178774	Bacillus luciferensis	PRJNA381928	PRJNA224116	SAMN06693592	6693592
1110041	4527718	4493448	GCF_002154695.1	GCF_002154695.1	ASM215469v1	1932621	Nostoc sp. T09 (cyanobacteria)	1932621	Nostoc sp. T09	PRJNA360300	PRJNA224116	SAMN06208854	6208854
1076081	4402318	4388838	GCF_002101745.1	GCF_002101745.1	ASM210174v1	120959	Mycobacterium kubicae (high GC Gram+)	120959	Mycobacterium kubicae	PRJNA299467	PRJNA224116	SAMN04216934	4216934
1025441	4229808	4203878	GCF_900167885.1	GCF_900167885.1	IMG-taxon 2708742532 annotated assembly	1680467	Lysinibacillus sp. AC-3 (firmicutes)	1680467	Lysinibacillus sp. AC-3	PRJEB19720	PRJNA224116	SAMN06295926	6295926
1016571	4180488	4169508	GCF_002013385.1	GCF_002013385.1	ASM201338v1	1855656	Mycobacterium sp. D16R24 (high GC Gram+)	1855656	Mycobacterium sp. D16R24	PRJNA323571	PRJNA224116	SAMN05186774	5186774
1012001	4158518	4150058	GCF_900006665.1	GCF_900006665.1	S.hominis_J31	1290	Staphylococcus hominis (firmicutes)	1290	Staphylococcus hominis	PRJEB10524	PRJNA224116	SAMEA3515759	6353945
1011961	4153098	4149978	GCF_900006745.1	GCF_900006745.1	S.hominis_J27	1290	Staphylococcus hominis (firmicutes)	1290	Staphylococcus hominis	PRJEB10524	PRJNA224116	SAMEA3515758	6353944
1011921	4157738	4149898	GCF_900006945.1	GCF_900006945.1	S.hominis_I4	1290	Staphylococcus hominis (firmicutes)	1290	Staphylococcus hominis	PRJEB10524	PRJNA224116	SAMEA3515760	6353946
983291	4370638	4054618	GCF_001984215.1	GCF_001984215.1	ASM198421v1	1936029	Mycobacterium sp. MS1601 (high GC Gram+)	1936029	Mycobacterium sp. MS1601	PRJNA359161	PRJNA224116	SAMN06187687	6187687
962101	4088028	4011928	GCF_001969965.1	GCF_001969965.1	Sparso1.0	1331668	Streptomyces sparsogenes DSM 40356 (high GC Gram+)	67365	Streptomyces sparsogenes	PRJNA201862	PRJNA224116	SAMN06251500	6251500
946871	3977118	3962238	GCF_001942265.1	GCF_001942265.1	ASM194226v1	1517936	Rhodococcus sp. CUA-806 (high GC Gram+)	1517936	Rhodococcus sp. CUA-806	PRJNA344658	PRJNA224116	SAMN05830212	5830212
920461	3859058	3799328	GCF_001905505.1	GCF_001905505.1	ASM190550v1	1703921	Streptomyces sp. CB02058 (high GC Gram+)	1703921	Streptomyces sp. CB02058	PRJNA293172	PRJNA224116	SAMN03999370	3999370
910091	3841008	3777808	GCF_900142795.1	GCF_900142795.1	IMG-taxon 2623620484 annotated assembly	1270	Micrococcus luteus (high GC Gram+)	1270	Micrococcus luteus	PRJEB18389	PRJNA224116	SAMN04487849	4487849
895181	3813588	3746598	GCF_001887885.1	GCF_001887885.1	ASM188788v1	1917170	Flavobacteriaceae bacterium A100 (CFB group bacteria)	1917170	Flavobacteriaceae bacterium A100	PRJNA352880	PRJNA224116	SAMN06006552	6006552
890871	3736398	3730348	GCF_001880825.1	GCF_001880825.1	ASM188082v1	546	Citrobacter freundii (enterobacteria)	546	Citrobacter freundii	PRJNA335400	PRJNA224116	SAMN05441430	5441430
888721	3722948	3721978	GCF_001876585.1	GCF_001876585.1	ASM187658v1	246432	Staphylococcus equorum (firmicutes)	246432	Staphylococcus equorum	PRJNA316783	PRJNA224116	SAMN04590068	4590068
882241	4876748	3704228	GCF_900111825.1	GCF_900111825.1	IMG-taxon 2622736524 annotated assembly	332999	Pedobacter suwonensis (CFB group bacteria)	332999	Pedobacter suwonensis	PRJEB17065	PRJNA224116	SAMN04488511	4488511
880741	4878528	3701228	GCF_900115705.1	GCF_900115705.1	IMG-taxon 2597490373 annotated assembly	529704	Frateuria terrea (g-proteobacteria)	529704	Frateuria terrea	PRJEB17412	PRJNA224116	SAMN02927913	2927913
879111	4877768	3697928	GCF_900110855.1	GCF_900110855.1	IMG-taxon 2675903052 annotated assembly	1036181	Microlunatus flavus (high GC Gram+)	1036181	Microlunatus flavus	PRJEB16996	PRJNA224116	SAMN05421756	5421756
878661	3911838	3697028	GCF_900110795.1	GCF_900110795.1	IMG-taxon 2663762783 annotated assembly	243924	Pseudomonas lutea (g-proteobacteria)	243924	Pseudomonas lutea	PRJEB16962	PRJNA224116	SAMN05216409	5216409
878211	3910818	3696128	GCF_900110185.1	GCF_900110185.1	IMG-taxon 2671180076 annotated assembly	1231	Nitrosospira multiformis (b-proteobacteria)	1231	Nitrosospira multiformis	PRJEB16916	PRJNA224116	SAMN05216404	5216404
874881	3689568	3686808	GCF_001865855.1	GCF_001865855.1	ASM186585v1	37332	Nocardia seriolae (high GC Gram+)	37332	Nocardia seriolae	PRJNA325707	PRJNA224116	SAMN05225369	5225369
862981	3907798	3631288	GCF_900104015.1	GCF_900104015.1	IMG-taxon 2667527209 annotated assembly	36746	Pseudomonas cichorii (g-proteobacteria)	36746	Pseudomonas cichorii	PRJEB16238	PRJNA224116	SAMN05216599	5216599
851921	3649158	3594898	GCF_001838075.1	GCF_001838075.1	ASM183807v1	1715200	Staphylococcus sp. HMSC078A12 (firmicutes)	1715200	Staphylococcus sp. HMSC078A12	PRJNA296329	PRJNA224116	SAMN04498660	4498660
816261	3548048	3522668	GCF_001766745.1	GCF_001766745.1	ASM176674v1	481719	Lentilactobacillus sunkii (firmicutes)	481719	Lentilactobacillus sunkii	PRJNA313308	PRJNA224116	SAMN04518065	4518065
803211	3476168	3473258	GCF_001747995.1	GCF_001747995.1	ASM174799v1	246432	Staphylococcus equorum (firmicutes)	246432	Staphylococcus equorum	PRJNA301343	PRJNA224116	SAMN04244254	4244254
803181	3475708	3473198	GCF_001747945.1	GCF_001747945.1	ASM174794v1	246432	Staphylococcus equorum (firmicutes)	246432	Staphylococcus equorum	PRJNA301343	PRJNA224116	SAMN04244257	4244257
803141	3476028	3473118	GCF_001747865.1	GCF_001747865.1	ASM174786v1	246432	Staphylococcus equorum (firmicutes)	246432	Staphylococcus equorum	PRJNA301343	PRJNA224116	SAMN04244252	4244252
803131	3475628	3473098	GCF_001747825.1	GCF_001747825.1	ASM174782v1	246432	Staphylococcus equorum (firmicutes)	246432	Staphylococcus equorum	PRJNA301343	PRJNA224116	SAMN04244251	4244251
